idx	err_cv1	err_cv2	err_pressure_drop	err_temp_std	err_max_temp	row_max_err_5obj
283	3.417731953	1.144013658	0.548150703	0.328266432	0.020590962	3.417731953
284	17.89633594	0.098010335	0.665348289	0.357582886	0.000405173	17.89633594
285	5.4419396	18.9567887	0.796763483	0.209607453	0.008106046	18.9567887
286	12.32204853	17.17718577	0.799436816	0.811201809	0.024811632	17.17718577
287	1.352520867	0.792495983	0.784751763	0.381439436	0.014355568	1.352520867
288	1.130411464	0.102053874	0.086305562	0.69905568	0.017394897	1.130411464
289	0.010164034	10.47194639	0.454247068	1.421471865	0.023609689	10.47194639
290	1.803963678	0.233775981	0.373388421	0.240550529	0.002808616	1.803963678
291	5.214460605	1.321288502	0.304614889	0.595913419	0.012296234	5.214460605
292	3.105754309	5.228355042	0.339424056	0.379279663	0.00146564	5.228355042
293	2.38992107	0.580864363	0.197407607	0.427100242	0.012790801	2.38992107
294	2.914073451	1.679256423	0.005720149	1.565757621	0.007007228	2.914073451
295	1.86442809	1.21229978	0.131372598	1.516503461	0.005329326	1.86442809
296	2.272173183	36.98570225	1.200298754	0.40111427	0.000341713	36.98570225
297	0.873933876	1.657055863	0.385678926	0.313171947	0.002025035	1.657055863
298	2.941053823	0.566651971	1.06486162	1.26065215	0.007210428	2.941053823
299	3.778868747	2.043029513	0.965190671	0.334248078	0.006126033	3.778868747
300	2.128839384	0.292016157	0.393267447	1.28527253	0.013844472	2.128839384
301	6.262016635	2.94492122	0.800143643	0.687801275	0.006041785	6.262016635
302	1.338751123	2.743556076	0.436937963	1.066306573	0.003182381	2.743556076
303	11.3407392	1.982883562	0.235068784	0.288068382	0.00211183	11.3407392
304	5.959157722	2.734556055	0.068982506	1.412885099	0.00349204	5.959157722
305	0.403773556	7.057860746	0.117047726	1.021049005	0.007227737	7.057860746
306	1.588453972	8.92386757	0.400774722	0.222659026	0.017253806	8.92386757
307	1.200290643	0.335552894	0.122178277	1.151291021	0.004867795	1.200290643
308	0.351735295	3.591359157	0.80366167	0.441429668	0.005867845	3.591359157
309	3.273660349	0.639678019	0.294996952	0.993612432	0.026691537	3.273660349
310	0.406735102	4.987043902	0.123227787	0.603432056	0.005828658	4.987043902
311	0.374253445	1.094276565	0.370567673	0.479585873	0.003555344	1.094276565
312	0.606051015	26.2072128	0.531013168	0.047253166	0.018974387	26.2072128
313	4.56971468	0.103097875	0.004110906	1.633497306	0.001281578	4.56971468
314	3.880664987	4.543647095	0.835399945	1.08478538	0.007906938	4.543647095
315	0.616550263	2.168028705	0.915832747	0.356342659	0.016162698	2.168028705
316	7.061713854	6.467576976	0.164439725	0.235120598	0.001883893	7.061713854
317	1.145453997	1.501092651	0.647825798	1.037318683	0.025436622	1.501092651
318	3.060111283	8.866745578	0.65783694	0.397336106	0.003081517	8.866745578
319	0.902744073	3.357066883	0.033041464	0.895050466	0.027696722	3.357066883
320	0.249752432	1.143594171	1.011493372	1.2950315	0.016669489	1.2950315
321	0.801796818	3.089143858	0.573599693	0.064596404	0.0107806	3.089143858
322	2.652724023	14.4365608	0.210290798	0.352917412	0.000194423	14.4365608
323	3.865126079	2.242691443	0.819323425	0.908316255	0.014836586	3.865126079
324	3.172120821	8.125545426	0.003962211	0.907475669	0.009845724	8.125545426
325	3.93561241	0.750111455	0.896223892	1.023327451	0.00750528	3.93561241
326	0.707051188	12.54354004	1.278682363	2.325151325	0.013685006	12.54354004
327	1.291396168	0.38733136	0.252696941	0.368959282	0.004891037	1.291396168
328	0.315800116	4.986557664	0.179520751	0.022989656	0.003358114	4.986557664
329	0.380107743	4.999841731	0.407806243	0.064589993	0.000274173	4.999841731
330	1.664169369	2.353254911	0.46297409	1.01508708	0.002954854	2.353254911
331	5.113786238	0.977142636	0.529639441	0.180528896	0.000451083	5.113786238
332	11.40675079	1.339489907	0.282028718	0.179852401	0.013902852	11.40675079
333	1.952344929	5.683839251	0.363035646	1.010238999	0.006627323	5.683839251
334	1.427215705	7.256111173	0.021719041	0.766955765	0.003785456	7.256111173
335	9.689206051	11.11769895	0.389358955	0.447561773	0.017723745	11.11769895
336	1.183526272	2.424133589	0.788632675	0.281223923	0.019740897	2.424133589
337	0.46478954	5.011130288	0.073460863	0.697140178	0.012314281	5.011130288
338	13.68809566	0.084499003	0.049100525	0.683704209	0.003195092	13.68809566
339	2.614866543	3.780501181	1.428835785	0.133727527	0.010993592	3.780501181
340	2.637730221	1.269283335	0.326004484	0.322654809	0.005224023	2.637730221
341	1.152393329	0.614071622	0.560416986	0.371922909	0.001972276	1.152393329
342	1.488809018	1.368869597	0.02176157	1.209260134	0.00265647	1.488809018
343	1.618050244	1.221138288	0.174925213	0.735352321	0.002307516	1.618050244
344	1.087566458	7.968068179	0.493456687	0.889244905	0.007895673	7.968068179
345	0.68347798	2.228514211	0.064985968	0.052398459	0.001074305	2.228514211
346	1.473658473	2.550493351	0.646977546	0.684583294	0.011031942	2.550493351
347	1.991861868	0.746607119	0.434736518	0.489445084	0.015929349	1.991861868
348	1.935530313	0.078698828	0.361591192	0.071604608	0.017033777	1.935530313
349	1.577621299	1.716972957	0.421916593	0.07689986	0.002799436	1.716972957
350	1.769423318	0.453092371	0.244104199	0.175737458	0.001213439	1.769423318
351	3.600074955	0.084509299	0.559067991	0.516978755	0.010803047	3.600074955
352	4.464552935	5.07784293	0.256995745	0.183696103	0.003524552	5.07784293
353	4.186145083	0.915383479	0.73568812	0.549182798	0.007048524	4.186145083
354	2.743327068	10.96159819	0.771172258	0.54444652	0.020520002	10.96159819
355	0.398745837	14.59037361	0.152005496	0.707982752	0.001437299	14.59037361
356	1.168421918	0.781380115	1.079854072	0.189593502	0.004327669	1.168421918
357	1.920190746	2.763771087	0.667613253	1.117534797	0.012193751	2.763771087
358	0.42220358	1.713759474	0.126338725	0.286464011	0.006136755	1.713759474
359	3.543737608	1.894734613	0.381828148	0.825168387	0.0081838	3.543737608
360	0.32211844	1.073525113	0.496929036	0.05652231	0.002393168	1.073525113
361	0.778542625	1.177882318	0.656165752	0.670004904	0.00566596	1.177882318
362	9.649180442	3.80369642	0.594783185	0.047890309	0.023449598	9.649180442
363	0.649565452	0.200811978	0.505038402	0.316351618	0.005065467	0.649565452
364	5.80893997	0.251483489	0.602801572	0.155510741	0.011125106	5.80893997
