idx	vel_cv_pass1	vel_cv_pass2	vel_cv_check
0	11.9353532	8.328115191	11.9353532
1	3.032176941	13.26491142	13.26491142
2	5.284556622	15.11604606	15.11604606
3	9.819123525	18.56915332	18.56915332
4	3.962897462	12.32375022	12.32375022
5	4.424317949	5.635891267	5.635891267
6	12.20917057	5.78736598	12.20917057
7	3.34393723	7.641612104	7.641612104
8	8.067582416	7.801283873	8.067582416
9	5.682732268	10.38982752	10.38982752
10	3.123017117	13.00426809	13.00426809
11	9.267992179	8.948158215	9.267992179
12	10.76449887	9.715594932	10.76449887
13	6.213047169	5.9254997	6.213047169
14	10.32394313	7.316149392	10.32394313
15	6.021198342	13.49936602	13.49936602
16	7.382892506	14.55535883	14.55535883
17	6.008286279	8.621494131	8.621494131
18	5.170603196	19.25579742	19.25579742
19	6.354289653	12.38972473	12.38972473
20	3.629946037	13.75606229	13.75606229
21	1.96095766	18.74951032	18.74951032
22	7.473973352	10.09382759	10.09382759
23	2.357816346	12.26992746	12.26992746
24	10.44012031	7.61458023	10.44012031
25	9.471773484	6.429398673	9.471773484
26	3.660232889	4.964029803	4.964029803
27	5.555737879	8.120331903	8.120331903
28	7.366657732	7.873186333	7.873186333
29	13.19869996	19.21888529	19.21888529
30	10.27847283	5.206281211	10.27847283
31	6.737263576	8.443128303	8.443128303
32	4.148698499	9.794903693	9.794903693
33	8.30894223	11.36373899	11.36373899
34	9.45945311	10.86050308	10.86050308
35	9.918030834	5.424939837	9.918030834
36	5.597890926	9.028460498	9.028460498
37	3.747195668	18.23647715	18.23647715
38	4.93844403	9.298099801	9.298099801
39	10.78923503	8.838402461	10.78923503
40	2.689670002	9.1829606	9.1829606
41	5.20467185	10.50122131	10.50122131
42	8.075266318	14.58065698	14.58065698
43	1.966473679	8.454697356	8.454697356
44	14.52109406	7.182966147	14.52109406
45	7.185429854	10.15358234	10.15358234
46	3.961041037	11.31652867	11.31652867
47	13.50930184	12.99264382	13.50930184
48	2.486389376	13.52619715	13.52619715
49	5.299876287	12.61806242	12.61806242
50	6.707261069	8.056669656	8.056669656
51	10.14598645	5.591176786	10.14598645
52	6.071736158	9.326561355	9.326561355
53	2.100248236	13.04368386	13.04368386
54	7.110191381	5.31705925	7.110191381
55	6.717837117	12.67223926	12.67223926
56	2.644400283	8.004736184	8.004736184
57	3.821660767	8.51229582	8.51229582
58	2.072788889	14.59731333	14.59731333
59	3.209822093	9.716213612	9.716213612
60	6.009388034	11.84593668	11.84593668
61	7.688032523	14.34438302	14.34438302
62	2.538331193	15.82892282	15.82892282
63	13.15627234	14.81534125	14.81534125
64	14.62516508	22.83469436	22.83469436
65	6.615209196	8.145575229	8.145575229
66	4.177637488	7.499712677	7.499712677
67	6.942262515	12.91628078	12.91628078
68	2.913143378	8.837789476	8.837789476
69	3.579260963	12.0987415	12.0987415
70	3.678469104	11.17671281	11.17671281
71	2.230639773	5.182382249	5.182382249
72	6.079012698	13.50141823	13.50141823
73	3.662322648	12.67099403	12.67099403
74	8.154033877	8.343189254	8.343189254
75	4.134472555	16.21392238	16.21392238
76	9.829630588	5.361234937	9.829630588
77	11.49947248	8.662024972	11.49947248
78	6.783512238	16.33353415	16.33353415
79	5.038737736	13.02073915	13.02073915
80	7.138539794	28.11156716	28.11156716
81	4.73439726	10.59330751	10.59330751
82	15.56666443	16.12543163	16.12543163
83	4.282367769	12.25620366	12.25620366
84	6.010499856	7.955846116	7.955846116
85	14.90379336	19.99899851	19.99899851
86	7.765396008	19.37566984	19.37566984
87	7.502894729	10.15192718	10.15192718
88	5.138416991	10.26424746	10.26424746
89	3.798166594	16.08774907	16.08774907
90	7.143325684	7.25840127	7.25840127
91	6.83574501	10.86502964	10.86502964
92	5.257435263	17.08692947	17.08692947
93	3.972860639	14.67229991	14.67229991
94	3.885174202	20.89572036	20.89572036
95	10.47897372	22.36513427	22.36513427
96	3.263153563	7.990977611	7.990977611
97	14.85368308	7.160490366	14.85368308
98	6.893828395	15.01410364	15.01410364
99	16.12816832	9.340630807	16.12816832
100	8.437236018	6.613257011	8.437236018
101	2.556163727	7.529641689	7.529641689
102	13.52813391	15.52411404	15.52411404
103	14.79589734	21.0696616	21.0696616
104	8.430985138	7.839748787	8.430985138
105	2.489502159	7.427790982	7.427790982
106	15.00167332	13.58929164	15.00167332
107	2.055141718	12.50322612	12.50322612
108	12.81474995	20.64356955	20.64356955
109	3.756076313	7.901628692	7.901628692
110	5.414097024	10.99755521	10.99755521
111	5.962404139	9.89100073	9.89100073
112	5.665949292	8.366741966	8.366741966
113	4.524095216	7.072282817	7.072282817
114	6.870991827	8.31325042	8.31325042
115	11.50209299	22.18946871	22.18946871
116	7.026659311	6.454722633	7.026659311
117	14.94730031	15.79136482	15.79136482
118	8.670249668	6.130081871	8.670249668
119	7.043992451	16.23762023	16.23762023
120	3.817976691	18.59449903	18.59449903
121	5.654119455	8.95726437	8.95726437
122	5.74484765	20.34884553	20.34884553
123	5.350304016	15.55530062	15.55530062
124	16.04557689	19.29513688	19.29513688
125	3.785187146	16.33781047	16.33781047
126	4.224456418	9.581153852	9.581153852
127	14.9788063	8.418860353	14.9788063
128	7.540434601	8.710088829	8.710088829
129	15.00770955	7.147530408	15.00770955
130	8.444537632	7.772893432	8.444537632
131	13.22106153	17.70473308	17.70473308
132	15.86084788	6.577251835	15.86084788
133	4.214782363	12.83536606	12.83536606
134	5.53779689	9.494065128	9.494065128
135	3.327376986	15.8232111	15.8232111
136	5.978575547	7.828502017	7.828502017
137	2.448112162	11.30769826	11.30769826
138	7.8098455	11.97063467	11.97063467
139	6.264831613	6.822155272	6.822155272
140	7.619722336	12.68808689	12.68808689
141	6.915793747	14.12559484	14.12559484
142	5.611925161	16.01503112	16.01503112
143	4.521397086	7.553852283	7.553852283
144	4.644732004	14.73726833	14.73726833
145	15.59730666	8.31112637	15.59730666
146	8.259104832	10.89220739	10.89220739
147	3.280573122	7.234333071	7.234333071
148	8.987977345	22.11018588	22.11018588
149	10.48955507	13.73690766	13.73690766
150	9.841202623	8.942685378	9.841202623
151	4.052585169	11.5594752	11.5594752
152	2.909251802	19.82028906	19.82028906
153	7.375868067	10.28846802	10.28846802
154	14.85543627	10.73417303	14.85543627
155	5.114880568	13.1608988	13.1608988
156	2.094054116	10.27731018	10.27731018
157	4.976778493	17.72491311	17.72491311
